Category,Avg Fee,Median Fee,Avg Time,Median Time,Avg Rating,Avg Review Count
London_Center,0.01,0.0,26.19,27.5,4.43,289.48
Bristol,0.0,0.0,27.22,27.5,4.32,328.29
Manchester,1.45,1.49,29.15,27.5,4.32,278.7
Glasgow,0.0,0.0,30.76,30.0,4.31,234.8
Sheffield,0.0,0.0,28.84,27.5,4.31,230.15
Coventry,0.0,0.0,30.18,27.5,4.29,236.43
London_Suburb,0.34,0.0,29.27,27.5,4.27,228.57
Leeds,0.0,0.0,28.71,27.5,4.26,248.02
Liverpool,0.0,0.0,30.23,29.25,4.26,277.6
Leicester,0.0,0.0,27.9,27.5,4.18,236.68
Birmingham,0.0,0.0,30.71,30.0,4.17,234.22
